DateID,ProductID,StoreID,CustomerID,QuantityOrderded,OrderAmount,DiscountAmount,Shipping Cost,TotalAmount
20260308,950,91,77,15,498,70.1653739134842,55.751352016623784,372.083274069892
20260308,398,91,625,3,977,60.82453193011093,133.89398888004848,782.2814791898406
20260308,968,91,450,6,620,79.43470617918724,84.70865931210002,455.8566345087127
20260308,872,91,945,9,442,23.726632291318815,29.83680001351902,388.4365676951622
20260308,164,91,530,13,904,37.74460867123951,92.87179726911789,773.3835940596426
20260308,304,91,494,7,884,43.46706321607869,119.61531567704775,720.9176211068735
20260308,143,91,129,3,172,18.39849378832565,10.384593526733623,143.21691268494072
20260308,657,91,994,17,809,97.66874646149623,68.34709895998714,642.9841545785166
20260308,312,91,726,1,194,26.399945789578084,19.02644520192509,148.57360900849682
20260308,781,91,382,8,507,64.44880143439039,68.84217570270296,373.70902286290664
20260308,198,91,117,16,454,63.161919146552336,33.01367328817931,357.82440756526836
20260308,601,91,43,12,288,40.301089048226395,38.59977070828367,209.09914024348993
20260308,234,91,408,9,865,39.3946996695368,75.64032755881618,749.964972771647
20260308,699,91,788,19,108,3.032262118907153,15.270620341828813,89.69711753926404
20260308,851,91,879,19,609,62.90327716465793,61.54201310935889,484.5547097259832
20260308,677,91,59,16,722,25.728278394635247,88.39952901872009,607.8721925866447
20260308,936,91,291,3,838,29.710056603236207,66.51856496210921,741.7713784346546
20260308,484,91,295,5,574,62.02202875118034,45.551001083870815,466.42697016494884
20260308,523,91,480,5,631,58.52377378936062,75.87801946358921,496.5982067470502
20260308,85,91,73,17,422,32.05631081081124,61.630903033897326,328.3127861552914
20260308,864,91,624,12,208,29.868065564575506,16.171684288181083,161.9602501472434
20260308,338,91,917,12,843,43.75247185808781,123.25076143005947,675.9967667118527
20260308,958,91,197,16,955,104.54610999309669,89.57320986024094,760.8806801466624
20260308,864,91,528,12,277,5.675527750437078,26.66376891200036,244.66070333756255
20260308,500,91,717,20,565,78.90771058420545,46.76871036307001,439.32357905272454
20260308,350,91,293,8,307,22.770253356892642,17.94357102970173,266.28617561340565
20260308,953,91,592,14,229,22.19514042840213,15.186652188161538,191.61820738343633
20260308,770,91,189,7,192,18.404376571628855,12.787700590154046,160.8079228382171
20260308,180,91,387,1,581,59.835813425568844,80.85195569244947,440.3122308819817
20260308,935,91,202,2,285,29.775843923387495,40.75583397272765,214.46832210388487
20260308,819,91,698,4,655,93.83637765053582,79.06233626024994,482.1012860892142
20260308,543,91,761,7,661,69.05611230067333,90.05777723861671,501.88611046071
20260308,852,91,863,14,264,28.356543229814694,20.87126310770028,214.77219366248502
20260308,147,91,295,14,964,51.40520568961,70.40703253603976,842.1877617743503
20260308,361,91,9,13,884,26.329916999062387,122.37289942318289,735.2971835777547
20260308,216,91,796,3,787,88.92526755136052,43.73588802215697,654.3388444264825
20260308,26,91,979,8,350,41.673927618385974,37.78012868622724,270.54594369538677
20260308,380,91,537,18,296,36.54228503656093,39.57253834828132,219.88517661515775
20260308,608,91,15,12,805,50.139180537870416,60.18179730641511,694.6790221557145
20260308,969,91,281,18,363,7.876955870679631,31.975380262864697,323.1476638664557
20260308,527,91,441,7,423,43.215495473047035,55.65246818270123,324.13203634425173
20260308,867,91,422,8,656,53.244643923153994,95.54722499506893,507.2081310817771
20260308,763,91,91,4,198,9.969481931983983,12.344836032538943,175.68568203547707
20260308,570,91,21,14,174,18.34910554141141,24.8791930172972,130.77170144129138
